orderbook_timestamp,book,bid,ask,spread
2024-07-18 03:03:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:10+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:13+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:16+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:18+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:23+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:27+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:33+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:40+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:46+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:51+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:52+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:53+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:54+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:56+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:57+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:58+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:03:59+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:00+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:01+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:10+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:13+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:16+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:18+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:23+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:27+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:31+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:33+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:35+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:35+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:44+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:51+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:52+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:54+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:57+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:58+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:04:59+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:00+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:01+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:10+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:13+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:16+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:18+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:23+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:27+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:31+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:33+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:35+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:40+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:44+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:46+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:51+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:52+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:53+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:54+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:56+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:57+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:58+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:05:59+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:00+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:01+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:13+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:16+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:18+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:23+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:27+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:31+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:33+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:35+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:40+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:44+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:46+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:51+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:52+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:53+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:54+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:56+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:57+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:58+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:06:59+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:00+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:01+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:10+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:23+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:27+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:31+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:33+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:35+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:40+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:44+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:46+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:51+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:52+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:53+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:54+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:55+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:56+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:57+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:58+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:07:59+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:00+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:01+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:02+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:03+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:04+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:05+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:06+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:07+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:08+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:09+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:10+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:11+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:12+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:13+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:14+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:15+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:17+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:18+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:19+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:20+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:21+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:22+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:24+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:25+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:26+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:28+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:29+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:30+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:32+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:34+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:36+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:37+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:38+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:39+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:40+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:41+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:42+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:43+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:44+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:45+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:46+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:47+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:48+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:49+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:50+00:00,usd_mxn,17.71,17.73,0.113
2024-07-18 03:08:51+00:00,usd_mxn,17.71,17.73,0.113
